gene,stage,annotation
AT12172,1,"('maternal',)"
AT12172,2,"('cellular blastoderm', 'maternal')"
AT12172,3,"('ubiquitous',)"
AT12172,4,"('trunk mesoderm primordium', 'ubiquitous', 'head mesoderm primordium P2', 'anterior endoderm primordium', 'posterior endoderm primordium')"
AT12172,5,"('anterior midgut primordium', 'posterior midgut primordium', 'ubiquitous', 'hindgut proper primordium', 'trunk mesoderm primordium', 'head mesoderm primordium')"
AT12172,6,"('embryonic central nervous system', 'embryonic midgut', 'embryonic hindgut', 'embryonic Malpighian tubule', 'gonad', 'ubiquitous', 'embryonic central brain mushroom body')"
AlkB,1,"('maternal', 'ubiquitous')"
AlkB,2,"('maternal', 'ubiquitous')"
AlkB,3,"('trunk mesoderm primordium P2', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'head mesoderm primordium P4')"
AlkB,4,"('anterior endoderm primordium', 'posterior endoderm primordium')"
Bsg,1,"('maternal', 'ubiquitous')"
Bsg,2,"('maternal', 'ubiquitous', 'apically cleared')"
Bsg,3,"('head mesoderm primordium P4',)"
Bsg,4,"('anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2')"
Bsg,5,"('anterior midgut primordium', 'posterior midgut primordium')"
CG10002,2,"('subset', 'yolk nuclei', 'foregut anlage in statu nascendi', 'hindgut anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'endoderm anlage in statu nascendi')"
CG10002,3,"('anterior endoderm anlage', 'posterior endoderm primordium P2', 'hindgut anlage', 'foregut anlage', 'yolk nuclei')"
CG10002,4,"('visual primordium', 'foregut primordium', 'proventriculus primordium', 'posterior endoderm primordium', 'amnioserosa', 'procephalic ectoderm primordium', 'anterior endoderm primordium', 'inclusive hindgut primordium', 'yolk nuclei')"
CG10002,5,"('embryonic central brain glia', 'embryonic optic lobe primordium', 'stomatogastric nervous system primordium', 'proventriculus primordium', 'lateral cord glia', 'ventral midline glia', 'posterior midgut primordium', 'rectum specific anlage', 'large intestine specific anlage', 'small intestine specific anlage', 'hindgut proper primordium', 'Malpighian tubule main body primordium', 'Malpighian tubule primordium', 'anterior midgut primordium', 'foregut primordium', 'brain primordium', 'midline primordium', 'yolk nuclei', 'salivary gland primordium')"
CG10002,6,"('embryonic central brain glia', 'embryonic central brain neuron', 'embryonic head epidermis', 'embryonic stomatogastric nervous system', 'embryonic foregut', 'embryonic proventriculus', 'embryonic salivary gland', 'embryonic salivary gland body', 'ventral midline', 'embryonic midgut', 'embryonic hindgut', 'embryonic Malpighian tubule', 'embryonic main segment of Malpighian tubule', 'embryonic large intestine', 'embryonic small intestine', 'embryonic anal pad', 'embryonic esophagus', 'embryonic brain', 'embryonic central nervous system', 'embryonic rectum', 'yolk nuclei')"
CG10006,2,"('hindgut anlage in statu nascendi', 'yolk nuclei')"
CG10006,3,"('yolk nuclei',)"
CG10006,4,"('yolk nuclei',)"
CG10006,6,"('embryonic Malpighian tubule',)"
CG10009,1,"('maternal',)"
CG10009,2,"('cellular blastoderm', 'ubiquitous')"
CG10009,3,"('hindgut anlage', 'ubiquitous')"
CG10009,4,"('inclusive hindgut primordium', 'ubiquitous', 'posterior endoderm primordium')"
CG10009,5,"('Malpighian tubule primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG10009,6,"('embryonic salivary gland', 'embryonic salivary gland body', 'embryonic midgut interstitial cell', 'adult midgut precursor', 'embryonic hindgut', 'embryonic Malpighian tubule', 'embryonic anal pad', 'embryonic/larval muscle system')"
CG10016,2,"('cellular blastoderm', 'subset', 'segmentally repeated', 'anlage in statu nascendi', 'foregut anlage in statu nascendi', 'hindgut anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi')"
CG10016,3,"('procephalic ectoderm anlage', 'hindgut anlage', 'dorsal ectoderm primordium', 'ventral ectoderm primordium P2', 'foregut anlage')"
CG10016,4,"('foregut primordium', 'inclusive hindgut primordium', 'dorsal ectoderm primordium', 'ventral ectoderm primordium', 'main segment of Malpighian tubule specific anlage')"
CG10016,5,"('dorsal epidermis primordium', 'proventriculus primordium', 'clypeo-labral primordium', 'small intestine specific anlage', 'hindgut proper primordium', 'Malpighian tubule primordium', 'dorsal apodeme specific anlage', 'ventral epidermis primordium', 'salivary duct primordium', 'gnathal primordium')"
CG10016,6,"('embryonic proventriculus', 'adult foregut precursor', 'embryonic ventral epidermis', 'embryonic dorsal epidermis', 'embryonic leading edge cell', 'embryonic hindgut', 'embryonic Malpighian tubule', 'adult hindgut precursor', 'embryonic/larval pericardial cell', 'embryonic/larval circulatory system', 'embryonic dorsal apodeme', 'embryonic ventral apodeme', 'embryonic salivary gland common duct', 'atrium', 'embryonic epipharynx')"
CG10017,1,"('maternal',)"
CG10017,2,"('faint ubiquitous',)"
CG10017,5,"('brain primordium', 'ventral nerve cord primordium')"
CG10017,6,"('embryonic brain', 'ventral nerve cord')"
CG10021,2,"('subset', 'procephalic ectoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'cellular blastoderm')"
CG10021,3,"('procephalic ectoderm anlage', 'posterior endoderm primordium P2', 'hindgut anlage', 'anterior endoderm anlage', 'foregut anlage')"
CG10021,4,"('anterior endoderm primordium', 'inclusive hindgut primordium', 'dorsal ectoderm primordium', 'posterior endoderm primordium', 'foregut primordium', 'ventral ectoderm primordium')"
CG10021,5,"('foregut primordium', 'dorsal epidermis primordium', 'ventral epidermis primordium', 'hindgut proper primordium', 'clypeo-labral primordium', 'proventriculus primordium', 'anterior midgut primordium', 'posterior midgut primordium')"
CG10021,6,"('embryonic head epidermis', 'sensory system head', 'embryonic epipharynx', 'embryonic hypopharynx', 'embryonic esophagus', 'embryonic proventriculus', 'embryonic midgut', 'embryonic hindgut', 'head epidermis dorsal', 'embryonic dorsal epidermis', 'embryonic ventral epidermis')"
CG10026,6,"('embryonic/larval fat body', 'embryonic ventral epidermis')"
CG10033,1,"('maternal', 'maternal')"
CG10033,2,"('subset', 'pair rule', 'foregut anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi', 'cellular blastoderm', 'subset', 'ubiquitous', 'pair rule', 'foregut anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi')"
CG10033,3,"('ventral ectoderm primordium P2', 'dorsal ectoderm primordium', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'foregut anlage', 'ventral ectoderm primordium P2', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'foregut anlage', 'dorsal ectoderm primordium')"
CG10033,4,"('foregut primordium', 'posterior endoderm primordium', 'anterior endoderm primordium', 'procephalic ectoderm primordium', 'visual primordium', 'ventral ectoderm primordium', 'trunk mesoderm primordium', 'ventral ectoderm primordium', 'anterior endoderm primordium', 'posterior endoderm primordium', 'procephalic ectoderm primordium', 'visual primordium', 'trunk mesoderm primordium', 'foregut primordium')"
CG10033,5,"('foregut primordium', 'visceral muscle primordium', 'dorsal epidermis primordium', 'clypeo-labral primordium', 'visual primordium2', 'procephalon primordium', 'head epidermis dorsal primordium P1', 'clypeo-labral primordium', 'head epidermis dorsal primordium P1', 'procephalon primordium', 'visual primordium2', 'foregut primordium', 'dorsal epidermis primordium', 'visceral muscle primordium')"
CG10033,6,"('sensory system head', 'embryonic foregut sensory structure', 'embryonic midgut', 'embryonic/larval visceral muscle', 'embryonic epipharynx', 'embryonic antennal sense organ', 'embryonic head epidermis', 'embryonic foregut', 'embryonic hypopharynx', 'embryonic/larval tracheal system', 'embryonic hindgut', 'embryonic foregut', 'embryonic/larval tracheal system', 'embryonic hindgut', 'circular visceral muscle fibers', 'embryonic epipharynx', 'embryonic hypopharynx', 'embryonic head epidermis', 'embryonic antennal sense organ', 'embryonic/larval visceral muscle')"
CG10034,6,"('ventral nerve cord', 'gonad')"
CG10036,4,"('inclusive hindgut primordium', 'inclusive hindgut primordium')"
CG10036,5,"('hindgut proper primordium', 'large intestine specific anlage', 'hindgut proper primordium', 'ventral nerve cord primordium', 'brain primordium')"
CG10036,6,"('embryonic brain', 'embryonic anal pad', 'ventral sensory complex primordium', 'ventral nerve cord', 'embryonic hindgut', 'embryonic anal pad', 'embryonic hindgut', 'embryonic large intestine')"
CG10037,2,"('dorsal ectoderm anlage in statu nascendi', 'subset')"
CG10037,4,"('dorsal ectoderm primordium', 'tracheal system anlage')"
CG10037,5,"('tracheal primordium', 'dorsal epidermis primordium', 'ring gland primordium', 'midline primordium')"
CG10037,6,"('embryonic dorsal epidermis', 'ring gland', 'embryonic large intestine', 'prothoracic gland')"
CG10038,1,"('maternal',)"
CG10038,2,"('ubiquitous',)"
CG10038,3,"('ubiquitous',)"
CG10038,4,"('ubiquitous',)"
CG1004,1,"('flag_for_volker',)"
CG1004,2,"('subset', 'ectoderm anlage in statu nascendi', 'procephalic ectoderm anlage in statu nascendi', 'ventral ectoderm anlage in statu nascendi', 'mesectoderm anlage in statu nascendi', 'dorsal ectoderm anlage in statu nascendi')"
CG1004,3,"('mesectoderm primordium',)"
CG1004,4,"('dorsal ectoderm primordium', 'mesectoderm primordium')"
CG1004,5,"('tracheal primordium', 'posterior spiracle specific anlage', 'pericardial cell specific anlage', 'dorsal epidermis primordium', 'cardiac mesoderm primordium')"
CG1004,6,"('sensory nervous system primordium', 'embryonic/larval pericardial cell', 'embryonic/larval visceral muscle')"
CG10042,1,"('maternal',)"
CG10042,2,"('maternal', 'ubiquitous')"
CG10042,3,"('ubiquitous',)"
CG10042,4,"('ubiquitous',)"
CG10042,5,"('ubiquitous',)"
CG10042,6,"('ubiquitous',)"
CG10043,1,"('maternal',)"
CG10043,2,"('ubiquitous',)"
CG10043,3,"('ubiquitous',)"
CG10043,4,"('ubiquitous',)"
CG10043,5,"('ubiquitous',)"
CG10043,6,"('ubiquitous',)"
CG10045,1,"('maternal',)"
CG10045,2,"('rapidly degraded',)"
CG10045,4,"('posterior endoderm primordium', 'anterior endoderm primordium')"
CG10045,5,"('anterior midgut primordium', 'posterior midgut primordium')"
CG10045,6,"('sensory system head', 'embryonic proventriculus', 'embryonic proventriculus inner layer', 'embryonic proventriculus intermediate layer', 'sensory nervous system primordium', 'embryonic midgut', 'embryonic hindgut', 'ventral sensory complex primordium', 'dorsal/lateral sensory complexes')"
CG10047,6,"('embryonic central nervous system', 'ventral nerve cord', 'ventral midline', 'sensory nervous system primordium', 'embryonic brain', 'sensory system head', 'dorsal/lateral sensory complexes', 'ventral sensory complex primordium')"
CG10050,1,"('pole plasm', 'maternal')"
CG10052,2,"('visual anlage in statu nascendi', 'procephalic ectoderm anlage in statu nascendi')"
CG10052,3,"('central brain anlage',)"
CG10052,4,"('visual primordium', 'central brain primordium P3')"
CG10052,5,"('brain primordium', 'clypeo-labral primordium', 'ventral nerve cord primordium')"
CG10052,6,"('embryonic central nervous system', 'ventral nerve cord', 'lateral cord glia', 'embryonic dorsal epidermis', 'embryonic/larval dorsal vessel', 'embryonic brain', 'clypeolabrum', 'embryonic/larval oenocyte', 'embryonic/larval pericardial cell')"
CG10053,1,"('maternal', 'ubiquitous')"
CG10053,2,"('ubiquitous',)"
CG10053,3,"('trunk mesoderm primordium P2', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'head mesoderm primordium P4')"
CG10053,4,"('anterior endoderm primordium', 'posterior endoderm primordium', 'head mesoderm primordium P2', 'trunk mesoderm primordium')"
CG10053,5,"('anterior midgut primordium', 'posterior midgut primordium', 'visceral muscle primordium', 'head mesoderm primordium')"
CG10053,6,"('embryonic midgut', 'embryonic/larval visceral muscle', 'visceral muscle of esophagus')"
CG10059,1,"('maternal',)"
CG10059,2,"('cellular blastoderm', 'ubiquitous')"
CG10059,3,"('ubiquitous',)"
CG10059,4,"('procephalic ectoderm primordium', 'ventral nerve cord primordium P3')"
CG10059,5,"('procephalic neuroblasts', 'neuroblasts of ventral nervous system', 'brain primordium', 'ventral nerve cord primordium')"
CG10059,6,"('ventral nerve cord',)"
CG10060,1,"('maternal',)"
CG10060,2,"('ubiquitous',)"
CG10060,3,"('ubiquitous',)"
CG10060,4,"('ubiquitous',)"
CG10060,5,"('ubiquitous',)"
CG10060,6,"('embryonic central nervous system', 'embryonic central brain surface glia', 'ventral nerve cord', 'lateral cord surface glia', 'gonad', 'embryonic brain', 'embryonic midgut')"
CG10064,6,"('embryonic ventral epidermis', 'ventral sensory complex primordium', 'sensory nervous system primordium', 'embryonic maxillary sensory complex', 'embryonic antennal sense organ', 'sensory system head', 'dorsal/lateral sensory complexes')"
CG10067,5,"('dorsal pharyngeal muscle primordium', 'somatic muscle primordium', 'visceral muscle primordium', 'muscle system primordium', 'somatic muscle primordium', 'muscle system primordium')"
CG10067,6,"('embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle', 'embryonic/larval somatic muscle', 'embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle', 'embryonic/larval somatic muscle', 'embryonic/larval visceral muscle')"
CG1007,1,"('maternal',)"
CG1007,2,"('cellular blastoderm', 'subset', 'dorsal ectoderm anlage in statu nascendi', 'amnioserosa anlage in statu nascendi', 'posterior endoderm anlage in statu nascendi')"
CG1007,3,"('procephalic ectoderm anlage', 'ventral ectoderm primordium P2', 'dorsal ectoderm primordium', 'anterior endoderm anlage', 'posterior endoderm primordium P2', 'hindgut anlage', 'trunk mesoderm primordium P2', 'foregut anlage', 'amnioserosa anlage')"
CG1007,4,"('foregut primordium', 'inclusive hindgut primordium', 'dorsal ectoderm primordium', 'amnioserosa', 'posterior endoderm primordium', 'trunk mesoderm primordium', 'amnioserosa primordium')"
CG1007,5,"('foregut primordium', 'proventriculus primordium', 'ventral epidermis primordium', 'dorsal epidermis primordium', 'hindgut proper primordium', 'posterior midgut primordium', 'trunk mesoderm primordium', 'amnioserosa')"
CG1007,6,"('embryonic central nervous system', 'embryonic dorsal apodeme', 'embryonic brain', 'ventral nerve cord')"
CG10071,1,"('maternal',)"
CG10071,2,"('ubiquitous', 'strong ubiquitous')"
CG10071,3,"('strong ubiquitous', 'ubiquitous')"
CG10071,4,"('ubiquitous', 'strong ubiquitous')"
CG10071,5,"('strong ubiquitous', 'ubiquitous')"
CG10071,6,"('ubiquitous', 'strong ubiquitous')"
CG10072,1,"('maternal',)"
CG10072,2,"('ubiquitous',)"
CG10072,3,"('faint ubiquitous', 'amnioserosa')"
CG10072,4,"('amnioserosa', 'head mesoderm primordium P2', 'faint ubiquitous')"
CG10072,5,"('plasmatocytes anlage', 'procrystal cell', 'faint ubiquitous', 'amnioserosa')"
CG10072,6,"('embryonic head epidermis', 'sensory system head', ""embryonic Bolwig's organ"", 'embryonic midgut', 'embryonic midgut interstitial cell', 'adult midgut precursor', 'embryonic hindgut', 'embryonic Malpighian tubule tip cell', 'adult hindgut precursor', 'plasmatocytes', 'crystal cell', 'embryonic foregut')"
CG10075,1,"('maternal',)"
CG10075,2,"('cellular blastoderm', 'maternal')"
CG10075,4,"('ubiquitous', 'faint ubiquitous', 'trunk mesoderm primordium', 'head mesoderm primordium P2', 'anterior endoderm primordium', 'posterior endoderm primordium')"
CG10075,5,"('anterior midgut primordium', 'posterior midgut primordium', 'faint ubiquitous', 'trunk mesoderm primordium', 'head mesoderm primordium')"
CG10075,6,"('embryonic midgut', 'embryonic gastric caecum', 'embryonic midgut chamber', 'ubiquitous', 'faint ubiquitous', 'embryonic/larval muscle system', 'dorsal prothoracic pharyngeal muscle')"
CG10076,1,"('maternal', 'need new term(localised)', 'pole plasm')"
CG10076,5,"('labral sensory complex primordium', 'gnathal primordium', 'ventral epidermis primordium', 'ventral imaginal precursor specific anlage', 'germ cell', 'foregut primordium', 'clypeo-labral primordium', 'rectum specific anlage', 'hindgut proper primordium', 'posterior midgut primordium')"
CG10076,6,"('sensory system head', 'embryonic foregut sensory structure', 'ventral imaginal precursor', 'sensory nervous system primordium', 'gonad', 'germ cell', 'embryonic rectum', 'embryonic hindgut', 'embryonic midgut chamber', 'embryonic midgut', 'atrium', 'embryonic proventriculus', 'embryonic hypopharynx', 'embryonic epipharynx', 'embryonic foregut')"
CG10078,4,"('yolk nuclei',)"
CG10078,5,"('yolk nuclei',)"
