gene,stage,direction,image_url
AT12172,1,lateral,"('45376_s.bmp',)"
AT12172,2,dorsal,"('45377_s.bmp',)"
AT12172,3,lateral,"('45378_s.bmp',)"
AT12172,4,dorsal,"('45379_s.bmp',)"
AT12172,5,dorsal,"('45382_s.bmp', '45383_s.bmp')"
AT12172,5,lateral,"('45380_s.bmp', '45381_s.bmp')"
AT12172,6,dorsal,"('45386_s.bmp',)"
AT12172,6,lateral,"('45384_s.bmp',)"
CG10002,2,lateral,"('25283_s.bmp', '25284_s.bmp', '25285_s.bmp', '25286_s.bmp')"
CG10002,3,dorsal,"('25287_s.bmp',)"
CG10002,3,lateral,"('25288_s.bmp',)"
CG10002,4,dorsal,"('25290_s.bmp', '25293_s.bmp')"
CG10002,4,lateral,"('25289_s.bmp', '25291_s.bmp', '25292_s.bmp')"
CG10002,5,dorsal,"('25304_s.bmp',)"
CG10002,5,lateral,"('25294_s.bmp', '25295_s.bmp', '25296_s.bmp', '25297_s.bmp', '25298_s.bmp', '25299_s.bmp', '25302_s.bmp', '25306_s.bmp', '25307_s.bmp', '25308_s.bmp', '25309_s.bmp')"
CG10002,5,ventral,"('25300_s.bmp', '25301_s.bmp')"
CG10002,6,dorsal,"('25310_s.bmp', '25314_s.bmp')"
CG10002,6,lateral,"('25311_s.bmp', '25313_s.bmp', '25315_s.bmp')"
CG10002,6,ventral,"('25312_s.bmp',)"
CG10009,1,lateral,"('8230_s.bmp',)"
CG10009,2,lateral,"('8231_s.bmp',)"
CG10009,3,dorsal,"('8233_s.bmp',)"
CG10009,3,lateral,"('8232_s.bmp', '8234_s.bmp')"
CG10009,4,lateral,"('8235_s.bmp',)"
CG10009,5,lateral,"('8237_s.bmp', '8239_s.bmp', '8240_s.bmp')"
CG10009,6,lateral,"('8243_s.bmp', '8246_s.bmp', '8247_s.bmp')"
CG10009,6,ventral,"('8244_s.bmp', '8245_s.bmp', '8248_s.bmp')"
CG10016,2,lateral,"('9795_s.bmp', '9797_s.bmp', '9798_s.bmp', '9824_s.bmp')"
CG10016,2,ventral,"('9794_s.bmp',)"
CG10016,3,lateral,"('9799_s.bmp', '9800_s.bmp')"
CG10016,3,ventral,"('9801_s.bmp', '9802_s.bmp')"
CG10016,4,lateral,"('9803_s.bmp', '9805_s.bmp', '9820_s.bmp')"
CG10016,4,ventral,"('9804_s.bmp',)"
CG10016,5,dorsal,"('9825_s.bmp', '9826_s.bmp')"
